iter	Passed	Remaining
0	2	198
1	4	203
2	5	176
3	6	164
4	8	164
5	10	163
6	12	160
7	15	172
8	16	168
9	18	165
10	20	162
11	21	159
12	23	155
13	24	153
14	26	151
15	29	152
16	30	147
17	32	147
18	34	145
19	35	143
20	37	141
21	39	138
22	40	136
23	44	141
24	45	137
25	47	135
26	49	133
27	51	131
28	53	129
29	55	128
30	56	125
31	58	123
32	60	122
33	61	119
34	63	118
35	65	116
36	67	114
37	68	112
38	70	110
39	72	109
40	74	107
41	75	104
42	77	102
43	78	99
44	80	97
45	81	95
46	83	93
47	85	92
48	87	90
49	88	88
50	91	87
51	92	85
52	94	83
53	96	81
54	97	79
55	98	77
56	99	75
57	101	73
58	103	72
59	105	70
60	107	68
61	108	66
62	110	64
63	111	62
64	113	61
65	115	59
66	118	58
67	120	56
68	121	54
69	125	53
70	126	51
71	129	50
72	130	48
73	133	46
74	135	45
75	136	43
76	138	41
77	139	39
78	141	37
79	142	35
80	143	33
81	144	31
82	146	29
83	147	28
84	149	26
85	150	24
86	152	22
87	154	21
88	155	19
89	157	17
90	159	15
91	161	14
92	163	12
93	164	10
94	166	8
95	167	6
96	169	5
97	170	3
98	172	1
99	173	0
