iter	Passed	Remaining
0	146	146205
1	147	73423
2	147	49117
3	148	36962
4	149	29654
5	149	24792
6	150	21315
7	150	18709
8	151	16680
9	152	15052
10	152	13727
11	153	12635
12	154	11698
13	154	10890
14	155	10196
15	156	9597
16	159	9198
17	160	8749
18	161	8334
19	162	7944
20	162	7589
21	163	7266
22	164	6971
23	164	6700
24	165	6449
25	165	6216
26	166	6000
27	167	5800
28	167	5613
29	168	5441
30	169	5282
31	169	5130
32	170	4987
33	170	4855
34	172	4769
35	173	4651
36	174	4539
37	175	4430
38	175	4328
39	176	4230
40	176	4136
41	177	4047
42	178	3962
43	178	3880
44	179	3802
45	179	3728
46	180	3656
47	180	3587
48	181	3524
49	182	3464
50	183	3405
51	183	3347
52	185	3319
53	186	3269
54	187	3221
55	188	3171
56	188	3124
57	189	3077
58	190	3033
59	190	2989
60	191	2947
61	192	2905
62	192	2865
63	193	2826
64	193	2788
65	194	2750
66	195	2715
67	195	2682
68	196	2650
69	197	2617
70	197	2585
71	198	2553
72	198	2522
73	201	2521
74	202	2494
75	202	2467
76	203	2439
77	204	2412
78	204	2386
79	205	2360
80	205	2335
81	206	2311
82	206	2284
83	207	2261
84	208	2239
85	208	2217
86	209	2196
87	209	2175
88	210	2154
89	211	2134
90	211	2113
91	212	2093
92	212	2074
93	213	2056
94	214	2042
95	215	2025
96	215	2009
97	216	1995
98	217	1978
99	218	1962
100	218	1946
101	219	1930
102	219	1915
103	220	1899
104	221	1884
105	221	1868
106	222	1854
107	222	1839
108	223	1827
109	224	1816
110	225	1805
111	226	1793
112	226	1780
113	227	1767
114	228	1754
115	229	1748
116	230	1736
117	231	1726
118	231	1717
119	232	1706
120	233	1695
121	233	1683
122	234	1672
123	235	1662
124	235	1651
125	236	1641
126	237	1630
127	237	1620
128	238	1610
129	239	1600
130	239	1590
131	240	1581
132	241	1571
133	241	1562
134	242	1553
135	243	1546
136	244	1539
137	245	1531
138	246	1525
139	247	1517
140	247	1509
141	248	1499
142	248	1491
143	249	1483
144	250	1475
145	251	1468
146	251	1460
147	252	1452
148	252	1444
149	253	1437
150	254	1429
151	254	1422
152	255	1414
153	256	1407
154	256	1400
155	257	1393
156	258	1390
157	259	1384
158	260	1378
159	261	1373
160	261	1365
161	262	1358
162	263	1352
163	264	1346
164	264	1339
165	265	1333
166	266	1327
167	266	1320
168	267	1314
169	268	1308
170	268	1303
171	269	1297
172	270	1290
173	270	1284
174	271	1278
175	271	1272
176	273	1269
177	273	1265
178	274	1260
179	276	1257
180	276	1252
181	277	1247
182	278	1242
183	278	1237
184	279	1231
185	280	1226
186	280	1221
187	281	1215
188	282	1210
189	282	1205
190	283	1200
191	284	1195
192	284	1190
193	285	1185
194	285	1180
195	286	1175
196	287	1172
197	288	1168
198	289	1164
199	290	1161
200	291	1157
201	291	1153
202	292	1148
203	293	1144
204	294	1140
205	294	1136
206	295	1132
207	296	1127
208	296	1123
209	297	1119
210	298	1115
211	299	1111
212	299	1107
213	300	1103
214	301	1099
215	301	1096
216	303	1093
217	303	1089
218	304	1086
219	305	1084
220	306	1081
221	307	1077
222	308	1074
223	309	1070
224	309	1067
225	310	1064
226	311	1061
227	312	1057
228	313	1054
229	313	1050
230	314	1047
231	315	1045
232	317	1043
233	318	1042
234	319	1039
235	320	1038
236	321	1034
237	322	1031
238	322	1028
239	323	1025
240	324	1021
241	325	1018
242	326	1015
243	326	1012
244	327	1009
245	328	1005
246	328	1002
247	329	999
248	330	996
249	331	993
250	332	992
251	333	990
252	334	988
253	335	985
254	336	983
255	337	979
256	337	976
257	338	974
258	339	971
259	340	968
260	341	965
261	341	963
262	342	960
263	343	957
264	344	954
265	344	951
266	345	948
267	347	948
268	348	947
269	349	945
270	350	943
271	351	940
272	352	937
273	353	935
274	353	933
275	354	930
276	355	928
277	356	925
278	357	923
279	358	921
280	359	920
281	361	920
282	362	918
283	363	917
284	364	914
285	365	912
286	366	909
287	367	907
288	367	905
289	368	903
290	369	901
291	370	898
292	371	896
293	372	894
294	373	891
295	376	895
296	379	899
297	381	897
298	381	895
299	382	892
300	383	890
301	384	888
302	385	886
303	386	884
304	387	882
305	388	880
306	389	880
307	391	878
308	392	878
309	394	877
310	395	877
